Category,MeanAbsRankChange,StdRankChange,P90AbsRankChange,PctMarketsMoved10plus,N_subcols
EffectiveRent,33.181666666666665,46.0707531874753,77.975,76.83333333333334,4
AskingRent,32.42333333333333,45.71140256109146,75.02499999999998,73.66666666666667,4
SalePrice,30.263333333333332,40.09759055762829,65.18749999999999,73.08333333333333,8
Income,30.006666666666668,39.630448234421316,66.625,74.83333333333333,4
Supply,16.634666666666668,23.688036204975376,39.49999999999999,51.86666666666666,5
UPP,14.046666666666667,20.362924399997233,31.0,28.444444444444446,3
Employment,13.284116331096198,18.973071239001403,29.833333333333346,40.666666666666664,6
Population,6.7444444444444445,10.885894704773923,16.349999999999998,21.666666666666668,6
