,AskingRent,EffectiveRent,Employment,Supply,UPP,Income,Population,SalePrice,sum
baseline,0.0,0.2,0.1,0.0,0.2,0.0,0.1,0.2,0.8
equal,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
drop_effective_rent,0.0,0.0,0.13333333333333333,0.0,0.26666666666666666,0.0,0.13333333333333333,0.26666666666666666,0.8
double_employment,0.0,0.17142857142857149,0.2,0.0,0.17142857142857149,0.0,0.08571428571428574,0.17142857142857149,0.8000000000000003
inverse_volatility,0.06396057680323318,0.06249882269978896,0.15611238641662564,0.12466826918985434,0.14763752505103206,0.06911181188236494,0.30748494097119394,0.06852566698590695,1.0
