Variable,N,MAE_mean,MAE_p90,SignedError_mean,SignedError_std
SalePrice,150,0.02173685554886969,0.03698257125737493,0.0200413058221949,0.01517519480903446
EffectiveRent,150,0.01774494082773069,0.03271841449229669,0.017191130523904787,0.012587191647230387
AskingRent,150,0.013844564152586322,0.02589221741821912,0.013176056657953497,0.009978226536438034
Supply,150,0.006717922711394731,0.015049695120639492,-0.004808784782575924,0.007902720301324875
Employment,150,0.003028406702695866,0.0049748920064366965,0.0028039687907617556,0.0021105425693590464
