Category,Weight,MeanAbsRankChange,StdRankChange,MeanContribution
AskingRent,0.0,28.683333333333334,40.9675964602702,0.0
EffectiveRent,0.2,29.528333333333332,41.20937729262161,5.905666666666667
Employment,0.1,6.436241610738255,8.97018876245562,0.6436241610738254
Supply,0.0,13.752,18.900232589741027,0.0
UPP,0.2,11.686666666666667,16.186310397842433,2.3373333333333335
Income,0.0,28.576666666666668,37.15410949476509,0.0
Population,0.1,5.297777777777776,8.431612861793159,0.5297777777777778
SalePrice,0.2,20.081666666666667,26.14340373258295,4.016333333333333
