Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Baton Rouge - LA,861231.6875,863059.5625,864779.0,864529.125,864221.3125,863891.4375,863542.0,863992.375,864404.8125,864802.625,865218.0,865996.8125,866770.875,867520.3125,868295.0,869048.8125,869822.8125,870581.75,870289.8125,870917.75,871327.25,871943.75,872911.6875,873228.8125,873670.25,874173.5,874956.1875,875875.6875,876913.0,878107.1875,879263.9375,880827.8125,882513.9375,884312.9375,885942.0625,887263.1875,888445.9375,888695.125,888745.125,888982.1875,889204.25,889250.5,889270.3125,889266.4375,889263.1875,889264.25,889265.0625,889244.375,889216.9375,889219.75,889265.0625,889344.3125,889475.25,889644.4375,889853.1875,890119.3125,890424.375,890762.0,891139.5,891555.75,892018.1875
Beaumont - TX,399095.09375,399715.6875,400286.0,400828.78125,401344.6875,401850.40625,402347.0,401231.0,400097.5,398957.09375,397825.0,397764.40625,397701.59375,397627.5,397565.0,397571.28125,397586.90625,397595.625,397264.3125,396844.09375,396324.59375,395899.1875,395633.09375,395412.40625,395247.71875,395110.1875,395098.21875,395593.5,396142.0,396761.5,397364.1875,397748.8125,398187.5,398675.90625,399086.59375,399853.21875,400394.1875,400369.59375,400134.09375,399744.28125,399378.28125,398936.8125,398442.40625,397941.90625,397435.59375,396933.1875,396423.0,395903.40625,395371.09375,394849.21875,394345.78125,393869.59375,393409.5,392962.40625,392531.09375,392121.3125,391727.5,391349.78125,390986.6875,390637.3125,390322.90625
Birmingham - AL,1160844.0,1162287.0,1163583.0,1164841.0,1166021.0,1167171.0,1168295.0,1169507.0,1170668.0,1171809.0,1172974.0,1174202.0,1175425.0,1176613.0,1177836.0,1178751.0,1179694.0,1180616.0,1181785.0,1181643.0,1181205.0,1181048.0,1181366.0,1181129.0,1181060.0,1181072.0,1181460.0,1182444.0,1183586.0,1184940.0,1186242.0,1187996.0,1189914.0,1191983.0,1193821.0,1195752.0,1197616.0,1198346.0,1198954.0,1199903.0,1200905.0,1201670.0,1202352.0,1202992.0,1203596.0,1204201.0,1204797.0,1205380.0,1205953.0,1206557.0,1207221.0,1207927.0,1208682.0,1209452.0,1210237.0,1211047.0,1211878.0,1212729.0,1213601.0,1214495.0,1215411.0
Boise - ID,683005.625,687247.375,691403.0,696030.0,700610.75,705173.5,709720.0,714540.5625,719330.1875,724107.1875,728899.0,733983.5625,739064.25,744123.75,749205.0,754374.5625,759561.8125,764735.875,770235.75,776942.625,783452.8125,790146.5,797160.875,801085.5625,805122.1875,809214.125,813564.5625,816995.9375,820536.1875,824223.1875,827875.4375,832197.875,836635.0625,841179.0625,845561.25,850237.625,854703.1875,858123.4375,861126.75,863260.375,866078.9375,868600.5625,870914.6875,873234.0625,875534.125,877818.0,880089.875,882364.6875,884631.5625,886921.0625,889254.5625,891646.8125,894083.1875,896549.8125,899044.625,901560.4375,904104.6875,906671.0,909268.625,911882.5,914527.0
Boston - MA,4831190.0,4840973.0,4850147.0,4860300.0,4870127.0,4879831.0,4889423.0,4895391.0,4901145.0,4906814.0,4912584.0,4917657.0,4922703.0,4927609.0,4932659.0,4936634.0,4940724.0,4944728.0,4924590.0,4920629.0,4915435.0,4911406.0,4909352.0,4914351.0,4920042.0,4926076.0,4933677.0,4942239.0,4951462.0,4961569.0,4971463.0,4984726.0,4998676.0,5013261.0,5026880.0,5034500.0,5041817.0,5043594.0,5044053.0,5047689.0,5050940.0,5053147.0,5054600.0,5055869.0,5056984.0,5057796.0,5058469.0,5059026.0,5059516.0,5060184.0,5061130.0,5062383.0,5064006.0,5066184.0,5068842.0,5071986.0,5075613.0,5079629.0,5084170.0,5089274.0,5094918.0
Brownsville-Harlingen - TX,418133.90625,418552.3125,418918.0,419020.8125,419095.5,419159.5,419214.0,419135.5,419038.5,418934.5,418839.0,419065.40625,419289.5,419501.59375,419726.0,420188.8125,420661.28125,421126.59375,421567.8125,421872.3125,422070.90625,422369.375,422838.1875,423506.1875,424233.78125,424990.6875,425882.8125,426432.1875,427039.0,427722.28125,428387.5,429304.6875,430280.6875,431310.6875,432257.0,432694.6875,433054.0,432970.875,432829.40625,432686.5,432575.8125,432395.28125,432216.40625,432041.28125,431871.5,431717.28125,431566.59375,431416.1875,431263.21875,431132.28125,431030.90625,430968.90625,430934.21875,430923.625,430938.5,430985.0,431057.40625,431155.21875,431277.0,431420.59375,431589.90625
Buffalo - NY,1154784.0,1155218.0,1155507.0,1156519.0,1157454.0,1158360.0,1159239.0,1160267.0,1161243.0,1162200.0,1163181.0,1163725.0,1164263.0,1164767.0,1165306.0,1165814.0,1166350.0,1166866.0,1165476.0,1165079.0,1164388.0,1163970.0,1164018.0,1162696.0,1161540.0,1160464.0,1159757.0,1159850.0,1160098.0,1160552.0,1160955.0,1162584.0,1164371.0,1166303.0,1168007.0,1167586.0,1166992.0,1165188.0,1163167.0,1161382.0,1159664.0,1157792.0,1155997.0,1154275.0,1153383.0,1152508.0,1151626.0,1150735.0,1149829.0,1148958.0,1148167.0,1147435.0,1146688.0,1145981.0,1145321.0,1144686.0,1144099.0,1143556.0,1143066.0,1142628.0,1142249.0
Canton - OH,404399.8125,404213.8125,403977.0,403683.0,403361.90625,403030.5,402690.0,402590.09375,402472.59375,402348.125,402232.0,402138.6875,402043.21875,401936.1875,401841.0,401754.6875,401677.71875,401593.6875,401241.40625,401009.0,400676.21875,400438.5,400362.09375,399995.09375,399684.59375,399402.0,399246.40625,399182.59375,399172.40625,399233.3125,399277.0,399356.6875,399491.78125,399677.625,399786.40625,399968.09375,400116.78125,399873.40625,399600.0,399349.5,399063.6875,398713.71875,398359.5,397986.5,397593.90625,397188.59375,396774.6875,396339.0,395879.09375,395428.8125,395007.5,394599.5,394205.90625,393816.8125,393449.8125,393184.125,392925.8125,392677.09375,392449.1875,392227.21875,392015.28125
Charleston - SC,744615.625,748388.3125,752067.0,755333.375,758549.375,761745.9375,764925.0,767765.375,770572.0625,773365.75,776175.0,779496.8125,782814.5,786109.9375,789428.0,792824.8125,796240.125,799641.75,803484.6875,806326.1875,808965.0,811794.625,814952.25,818881.6875,822925.4375,827025.875,831390.625,836434.8125,841590.25,846896.4375,852167.1875,856963.1875,861878.125,866903.8125,871763.625,876455.375,880924.0,884419.0,887631.25,890618.3125,893574.5,896398.625,899147.1875,901795.0,904344.0,906794.375,909147.25,911402.75,913563.3125,915753.4375,917978.8125,920239.3125,922532.3125,924847.75,927210.3125,929614.375,932057.1875,934529.9375,937032.5625,939566.6875,942129.25
Charlotte - NC,2467319.0,2480279.0,2492928.0,2505459.0,2517824.0,2530123.0,2542365.0,2552977.0,2563478.0,2573934.0,2584443.0,2595094.0,2605732.0,2616295.0,2626934.0,2637977.0,2649081.0,2660139.0,2668465.0,2678041.0,2686942.0,2696479.0,2707105.0,2719795.0,2732865.0,2746122.0,2760255.0,2774793.0,2789700.0,2805105.0,2820391.0,2836361.0,2852724.0,2869456.0,2885638.0,2902881.0,2919446.0,2932792.0,2945201.0,2957033.0,2968608.0,2979434.0,2989876.0,2999954.0,3009663.0,3018969.0,3027901.0,3036452.0,3044622.0,3052931.0,3061446.0,3070174.0,3079126.0,3088281.0,3097630.0,3107020.0,3116603.0,3126348.0,3136301.0,3146440.0,3156725.0
Chattanooga - TN,546300.1875,547377.0,548385.0,549283.375,550145.1875,550992.9375,551828.0,552888.5,553924.9375,554951.8125,555990.0,556810.625,557628.3125,558430.0,559248.0,560595.8125,561956.75,563307.9375,564617.9375,565507.375,566255.125,567136.75,568247.3125,570006.6875,571846.0,573724.9375,575786.6875,577417.75,579125.8125,580937.375,582724.1875,584420.0,586196.4375,588047.1875,589784.75,590955.3125,592093.1875,592649.75,593163.5625,593743.6875,594305.8125,594785.5,595313.0,595830.5,596337.25,596839.8125,597329.5,597806.0,598266.1875,598747.625,599260.625,599799.625,600363.5625,600942.375,601539.625,602155.5625,602788.3125,603438.1875,604103.5,604784.5,605483.875
Chicago - IL,9486179.0,9487301.0,9487228.0,9487671.0,9487478.0,9487042.0,9486392.0,9484315.0,9481823.0,9479169.0,9476710.0,9473714.0,9470667.0,9467351.0,9464310.0,9460886.0,9457683.0,9454315.0,9436961.0,9418354.0,9397392.0,9378665.0,9363711.0,9346067.0,9329749.0,9314078.0,9301364.0,9307332.0,9314549.0,9323426.0,9331900.0,9349015.0,9367422.0,9387019.0,9404809.0,9418212.0,9429622.0,9430947.0,9429854.0,9426792.0,9421961.0,9413953.0,9403831.0,9392041.0,9378619.0,9365192.0,9351838.0,9338261.0,9324769.0,9311711.0,9299230.0,9287106.0,9275597.0,9264696.0,9254391.0,9244315.0,9234827.0,9225847.0,9217467.0,9209947.0,9203142.0
Cincinnati - OH,2195264.0,2198752.0,2201963.0,2205582.0,2209053.0,2212468.0,2215833.0,2218873.0,2221816.0,2224721.0,2227672.0,2231026.0,2234368.0,2237646.0,2240989.0,2243907.0,2246878.0,2249810.0,2252016.0,2251941.0,2251301.0,2251196.0,2251998.0,2253875.0,2256071.0,2258422.0,2261491.0,2265782.0,2270376.0,2275375.0,2280275.0,2284723.0,2289486.0,2294539.0,2299150.0,2303979.0,2308524.0,2310707.0,2312467.0,2314242.0,2315802.0,2316975.0,2318013.0,2318952.0,2319774.0,2320466.0,2321033.0,2321478.0,2321802.0,2322211.0,2322745.0,2323385.0,2324156.0,2325037.0,2326021.0,2327110.0,2328302.0,2329583.0,2330969.0,2332430.0,2333997.0
Cleveland - OH,2185728.0,2186136.0,2186269.0,2186462.0,2186508.0,2186498.0,2186439.0,2186575.0,2186616.0,2186619.0,2186667.0,2186445.0,2186211.0,2185915.0,2185682.0,2185681.0,2185731.0,2185743.0,2184163.0,2180503.0,2176297.0,2172610.0,2169797.0,2167367.0,2165244.0,2163272.0,2161988.0,2161955.0,2162213.0,2162856.0,2163406.0,2164229.0,2165352.0,2166750.0,2167731.0,2169474.0,2170899.0,2170071.0,2168830.0,2167533.0,2166094.0,2164314.0,2162434.0,2160444.0,2158351.0,2156147.0,2153831.0,2151397.0,2148841.0,2146368.0,2144009.0,2141764.0,2139647.0,2137615.0,2135681.0,2133837.0,2132081.0,2130411.0,2128837.0,2127359.0,2125971.0
Colorado Springs - CO,706585.0,710530.0625,714386.0,717695.625,720957.1875,724200.375,727427.0,730606.5,733754.0625,736889.0,740039.0,742469.9375,744896.9375,747302.625,749730.0,751975.125,754237.6875,756487.1875,758515.375,759814.0,760922.0,762210.0,763805.625,764648.9375,765599.8125,766603.5625,767851.375,769019.3125,770289.5,771696.75,773070.375,775131.75,777299.6875,779566.0,781681.5625,782761.75,783832.25,784195.125,784514.0,785037.3125,785746.5625,786472.4375,787250.625,788130.125,789107.75,790194.5,791378.5,792658.5,794032.0,795457.25,796946.75,798516.125,800144.6875,801813.5,803526.625,805278.0,807071.75,808910.5625,810790.0,812695.375,814637.5625
Columbia - SC,804307.3125,806018.9375,807629.0,809214.4375,810745.5,812256.0,813748.0,815176.8125,816570.0,817949.125,819345.0,820783.625,822217.6875,823628.4375,825063.0,826522.5,828001.25,829465.6875,830137.5,832054.8125,833763.1875,835668.8125,837911.625,840408.1875,843022.5,845694.875,848637.0,851233.5625,853943.625,856805.8125,859631.3125,862626.125,865739.375,868962.25,872017.1875,875302.4375,878479.8125,880761.4375,882887.8125,884947.6875,886914.1875,888703.1875,890409.125,892031.8125,893566.3125,895012.0625,896365.625,897623.75,898787.1875,899981.0,901208.3125,902461.6875,903747.8125,905055.75,906407.75,907817.0625,909261.625,910737.1875,912240.4375,913788.3125,915358.8125
Columbus - OH,2042237.0,2048741.0,2054988.0,2062829.125,2070532.0,2078181.875,2085783.875,2091323.0,2096769.0,2102180.0,2107634.0,2112673.0,2117700.0,2122667.0,2127695.0,2131435.0,2135225.0,2138979.0,2141956.0,2143027.0,2143561.0,2144603.0,2146508.0,2151047.0,2155887.0,2160875.0,2166550.0,2172556.0,2178851.0,2185535.0,2192125.0,2199116.0,2206410.0,2213983.0,2221129.0,2229653.0,2237844.0,2243712.0,2249029.0,2254275.0,2259353.0,2264065.0,2268639.0,2273090.0,2277400.0,2281508.0,2285459.0,2289294.0,2293007.0,2296814.0,2300748.0,2304859.0,2309141.0,2313577.0,2318146.0,2322850.0,2327701.0,2332673.0,2337789.0,2343095.0,2348543.0
Corpus Christi - TX,448687.0,448969.21875,449195.0,448940.78125,448656.59375,448360.8125,448055.0,447383.5,446692.40625,445993.59375,445304.0,445187.90625,445069.40625,444938.1875,444820.0,445190.875,445572.125,445945.59375,446361.375,446728.40625,446983.3125,447344.09375,447885.1875,447549.5,447277.0,447035.5,446936.0,447281.3125,447687.0,448172.90625,448639.8125,449074.40625,449570.1875,450122.09375,450586.21875,451610.6875,452499.125,452862.40625,453055.375,453107.09375,453203.0,453170.90625,453072.8125,452964.90625,452846.09375,452719.0,452579.5,452426.09375,452258.09375,452107.09375,451977.8125,451879.90625,451801.0,451737.6875,451692.28125,451674.59375,451675.90625,451697.8125,451736.0,451789.625,451874.6875
Dallas-Fort Worth - TX,7100265.0,7138435.0,7175708.0,7210972.0,7245755.0,7280352.0,7314782.0,7344227.0,7373352.0,7402349.0,7431497.0,7459990.0,7488443.0,7516683.0,7545141.0,7576110.0,7607255.0,7638269.0,7667155.0,7694429.0,7719768.0,7746929.0,7777221.0,7824894.0,7873655.0,7922960.0,7974798.0,8020619.0,8067504.0,8115830.0,8163813.0,8209734.5,8256792.0,8304908.0,8351430.5,8388002.0,8423387.0,8450137.0,8476342.0,8503006.0,8529726.0,8554717.0,8579822.0,8604909.0,8630188.0,8655607.0,8681085.0,8706277.0,8731272.0,8756674.0,8782555.0,8809093.0,8836274.0,8864163.0,8892599.0,8921807.0,8951698.0,8982148.0,9013180.0,9045046.0,9077762.0
Dayton - OH,804034.4375,804660.25,805185.0,805749.3125,806259.6875,806749.5,807221.0,807812.0625,808367.6875,808909.5,809468.0,810291.375,811110.5,811906.375,812726.0,813155.875,813604.6875,814039.4375,814205.375,814002.8125,813596.3125,813382.8125,813496.8125,813215.25,813048.6875,812938.5,813086.8125,813535.875,814094.125,814797.5,815465.5625,816545.0,817737.3125,819033.3125,820171.375,820921.0625,821607.125,821493.875,821291.6875,821136.75,820906.3125,820546.375,820180.75,819778.6875,819339.875,818862.6875,818344.75,817783.625,817180.1875,816609.0,816083.375,815602.0,815169.3125,814770.375,814409.125,814082.8125,813792.4375,813535.375,813314.5625,813130.8125,812981.8125
Daytona Beach - FL,624057.8125,627652.75,631169.0,634081.8125,636952.25,639806.5,642646.0,645063.1875,647452.0625,649829.875,652221.0,654510.375,656796.375,659063.75,661350.0,663866.6875,666398.8125,668919.5,671761.875,675706.4375,679480.75,683415.25,687626.5,692704.6875,697879.375,703102.5,708551.1875,712607.1875,716757.875,721036.6875,725285.1875,727915.0,730645.1875,733468.3125,736150.0625,738285.875,740344.125,741663.5625,742872.0625,744240.75,745639.75,746956.3125,748345.0,749776.5,751218.8125,752693.1875,754172.75,755672.625,757172.5,758690.625,760240.4375,761842.25,763473.0,765130.6875,766828.125,768575.0,770361.0,772193.625,774063.1875,775964.625,777897.6875
Denver - CO,2823393.0,2834127.0,2844505.0,2852936.0,2861175.0,2869342.0,2877443.0,2887072.0,2896574.0,2906026.0,2915538.0,2922716.0,2929879.0,2936958.0,2944122.0,2950655.0,2957257.0,2963807.0,2970112.0,2972135.0,2973414.0,2975397.0,2978580.0,2981515.0,2984870.0,2988430.0,2992942.0,3000751.0,3008962.0,3017710.0,3026330.0,3036481.0,3047052.0,3058013.0,3068386.0,3074108.0,3079350.0,3081375.0,3082743.0,3084505.0,3086563.0,3088620.0,3091021.0,3093778.0,3096869.0,3100279.0,3104009.0,3108076.0,3112464.0,3117041.0,3121855.0,3126970.0,3132328.0,3137876.0,3143611.0,3149511.0,3155587.0,3161834.0,3168271.0,3174842.0,3181573.0
Des Moines - IA,667371.5,670421.875,673388.0,676133.1875,678833.3125,681515.9375,684183.0,686619.0625,689025.3125,691419.625,693828.0,696199.25,698566.5625,700914.125,703282.0,705356.0625,707446.6875,709525.0,711225.5625,713635.6875,715866.375,718266.3125,720956.5,722869.3125,724883.0,726946.4375,729241.1875,731622.625,734100.8125,736709.4375,739285.875,742216.375,745246.875,748369.875,751346.6875,753785.375,756197.1875,757873.25,759468.875,761358.8125,763221.375,764946.5,766675.875,768392.375,770105.0,771826.0,773550.1875,775272.5625,776995.8125,778746.875,780538.5625,782372.0,784253.0,786167.3125,788120.625,790111.875,792140.9375,794203.9375,796305.625,798445.6875,800625.1875
Detroit - MI,4360226.0,4364401.0,4368028.0,4371736.0,4375151.0,4378454.0,4381658.0,4384199.0,4386548.0,4388821.0,4391185.0,4392160.0,4393111.0,4393938.0,4394892.0,4394018.0,4393246.0,4392398.0,4385267.0,4381426.0,4376489.0,4372592.0,4370455.0,4365750.0,4361664.0,4357883.0,4355487.0,4355933.0,4356962.0,4358770.0,4360389.0,4365526.0,4371264.0,4377557.0,4383004.0,4390155.0,4396281.0,4397463.0,4397413.0,4396571.0,4395264.0,4393200.0,4391054.0,4388841.0,4386566.0,4384230.0,4381862.0,4379448.0,4377019.0,4374743.0,4372696.0,4370882.0,4369317.0,4367957.0,4366797.0,4365843.0,4365073.0,4364474.0,4364079.0,4363893.0,4363905.0
Durham - NC,553913.8125,556412.75,558842.0,560537.0,562194.5625,563837.6875,565468.0,568309.375,571125.9375,573932.625,576751.0,578460.875,580167.75,581857.8125,583565.0,585338.9375,587126.5,588904.0,582117.375,584816.375,587368.25,590058.5,592987.4375,594986.0625,597068.1875,599191.3125,601505.6875,603715.25,606005.375,608403.8125,610776.3125,613224.5,615757.375,618368.75,620861.0625,623353.5625,625790.25,627611.5625,629351.0,631063.1875,632720.0,634200.0625,635559.6875,636829.5625,638009.6875,639085.3125,640070.125,640966.3125,641776.125,642616.375,643498.5,644430.0,645410.1875,646438.1875,647509.6875,648594.4375,649721.625,650882.375,652090.0,653343.8125,654639.875
East Bay - CA,2789873.0,2798257.0,2806290.0,2811569.0,2816660.0,2821679.0,2826634.0,2830464.0,2834170.0,2837827.0,2841543.0,2843269.0,2844980.0,2846609.0,2848322.0,2848281.0,2848305.0,2848281.0,2847200.0,2837414.0,2826921.0,2817100.0,2808412.0,2804383.0,2800752.0,2797316.0,2794770.0,2795354.0,2796312.0,2797769.0,2799105.0,2803223.0,2807729.0,2812590.0,2816909.0,2822069.0,2826711.0,2828311.0,2829086.0,2829246.0,2828886.0,2829752.0,2830310.0,2830406.0,2830741.0,2831252.0,2831657.0,2832286.0,2833181.0,2834209.0,2835421.0,2836822.0,2838449.0,2840336.0,2842453.0,2844793.0,2847359.0,2850104.0,2853102.0,2856356.0,2859869.0
