Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Port St. Lucie - FL,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,304.0,127.0,200.0,10.0,600.0,0.0,0.0,373.0,14.0,0.0,0.0,531.0,686.0,474.0,586.0,0.0,481.0,421.0,1419.0,172.0,176.0,0.0,133.0,220.0,252.0,0.0,0.0,417.0,0.0,78.0,526.0,79.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Portland - ME,61.0,184.0,215.0,118.0,53.0,11.0,36.0,12.0,16.0,369.0,62.0,0.0,143.0,0.0,267.0,547.0,45.0,0.0,64.0,24.0,40.0,186.0,253.0,280.0,633.0,453.0,109.0,8.0,180.0,52.0,0.0,120.0,342.0,118.0,120.0,0.0,43.0,0.0,90.0,84.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Portland - OR,1273.0,1399.0,2258.0,1281.0,2820.0,1675.0,2258.0,1795.0,1565.0,2613.0,1381.0,875.0,1225.0,1226.0,2978.0,2104.0,2279.0,665.0,1131.0,723.0,1685.0,1129.0,1127.0,1553.0,3506.0,2401.0,479.0,2088.0,1485.0,1276.0,1971.0,1099.0,668.0,437.0,626.0,389.0,689.0,69.0,420.0,0.0,220.0,,0.0,,,,,,,,,,,,,,,,,,,
Poughkeepsie - NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence - RI,770.0,9.0,241.0,377.0,0.0,433.0,76.0,6.0,339.0,312.0,157.0,157.0,264.0,431.0,83.0,119.0,279.0,0.0,166.0,368.0,379.0,23.0,62.0,353.0,470.0,337.0,50.0,177.0,71.0,0.0,245.0,165.0,575.0,332.0,0.0,0.0,446.0,425.0,308.0,366.0,275.0,,0.0,,,,,,,,,,,,,,,,,,,
Provo - UT,148.0,128.0,824.0,192.0,41.0,128.0,180.0,463.0,250.0,477.0,411.0,257.0,593.0,442.0,0.0,75.0,277.0,0.0,634.0,71.0,1088.0,472.0,1147.0,265.0,726.0,444.0,0.0,1461.0,435.0,0.0,453.0,14.0,451.0,0.0,219.0,137.0,149.0,165.0,304.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Raleigh - NC,451.0,1228.0,823.0,1508.0,747.0,0.0,473.0,1459.0,816.0,1688.0,638.0,1233.0,2001.0,145.0,1625.0,1230.0,1923.0,1191.0,466.0,1326.0,936.0,811.0,1939.0,2673.0,2220.0,2491.0,2718.0,3383.0,1376.0,2470.0,917.0,2743.0,892.0,1195.0,907.0,1351.0,1067.0,793.0,2334.0,817.0,409.0,,0.0,,,,,,,,,,,,,,,,,,,
Reading - PA,16.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,55.0,0.0,0.0,210.0,89.0,216.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Reno - NV,956.0,44.0,358.0,838.0,305.0,929.0,432.0,362.0,45.0,209.0,889.0,16.0,817.0,141.0,710.0,345.0,45.0,1263.0,579.0,0.0,394.0,218.0,710.0,66.0,667.0,790.0,337.0,356.0,500.0,0.0,105.0,590.0,115.0,315.0,60.0,0.0,0.0,0.0,44.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Richmond - VA,127.0,361.0,1750.0,405.0,44.0,935.0,224.0,441.0,545.0,694.0,529.0,601.0,1235.0,1026.0,1375.0,804.0,688.0,188.0,691.0,682.0,641.0,1175.0,796.0,515.0,1122.0,1385.0,1388.0,683.0,337.0,1028.0,1982.0,1129.0,811.0,0.0,0.0,301.0,2534.0,590.0,634.0,232.0,901.0,,0.0,,,,,,,,,,,,,,,,,,,
Rochester - NY,194.0,54.0,244.0,201.0,0.0,27.0,106.0,306.0,111.0,648.0,290.0,242.0,100.0,56.0,73.0,217.0,278.0,339.0,178.0,141.0,393.0,202.0,288.0,410.0,167.0,0.0,568.0,26.0,29.0,94.0,320.0,0.0,258.0,0.0,212.0,0.0,0.0,150.0,0.0,57.0,20.0,,0.0,,,,,,,,,,,,,,,,,,,
Sacramento - CA,0.0,142.0,152.0,396.0,771.0,144.0,698.0,299.0,638.0,213.0,534.0,69.0,460.0,300.0,411.0,45.0,955.0,786.0,1173.0,345.0,509.0,1378.0,13.0,534.0,671.0,1225.0,399.0,581.0,540.0,235.0,445.0,866.0,967.0,226.0,18.0,354.0,671.0,180.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
