Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
Columbia - SC,440783.375,441183.6875,441632.59375,442054.6875,442504.0,442953.1875,443426.78125,443952.09375,444470.5,444973.0,445432.8125,445915.90625,446448.09375,446984.3125,447529.6875,448082.6875,448645.5,449212.875,449764.09375,450296.90625,444899.0,445404.5,445907.8125,446417.125,446922.6875,447425.40625,447922.21875,448423.3125,448920.59375,449418.78125,449914.40625,450411.90625,450909.21875,451402.8125,451892.5,463432.09375,463992.1875,453366.5,453854.875
Columbus - OH,1195626.0,1196623.0,1197923.0,1199236.0,1200640.0,1202032.0,1203419.0,1204850.0,1206250.0,1207615.0,1208959.0,1210363.0,1211964.0,1213546.0,1215196.0,1216857.0,1218549.0,1220227.0,1221884.0,1223486.0,1203983.0,1205565.0,1207143.0,1208747.0,1210344.0,1211931.0,1213499.0,1215054.0,1216624.0,1218167.0,1219711.0,1221250.0,1222796.0,1224319.0,1225834.0,1237499.0,1239069.0,1230355.0,1231847.0
Corpus Christi - TX,201166.203125,201101.890625,201060.0,201066.609375,201119.296875,201192.09375,201268.5,201352.59375,201446.390625,201537.90625,201622.703125,201691.40625,201792.5,201888.390625,201989.296875,202091.5,202209.59375,202329.09375,202444.90625,202558.203125,200802.40625,200915.6875,201029.40625,201139.5,201247.703125,201354.0,201455.703125,201553.796875,201650.890625,201749.296875,201841.40625,201934.09375,202024.40625,202113.296875,202197.40625,206360.203125,206447.0,202443.890625,202519.609375
Dallas-Fort Worth - TX,4350895.0,4359815.0,4369521.0,4380008.0,4390493.0,4401322.0,4412212.0,4422281.0,4432706.0,4443115.0,4453417.0,4464029.0,4474596.0,4485545.0,4496701.0,4507957.0,4519353.0,4530768.0,4542091.0,4553497.0,4479306.0,4490234.0,4501173.0,4512052.0,4522883.0,4533756.0,4544614.0,4555508.0,4566382.0,4577260.0,4588091.0,4599014.0,4609917.0,4620800.0,4631640.0,4830513.0,4842056.0,4664256.0,4675075.0
Dayton - OH,396541.6875,396500.21875,396500.625,396472.6875,396460.125,396453.71875,396452.5,396462.40625,396475.1875,396497.3125,396531.59375,396562.5,396641.125,396725.40625,396827.78125,396937.0,397047.78125,397145.0,397233.0,397291.1875,391672.0,391730.8125,391784.40625,391838.0,391888.40625,391940.40625,391986.21875,392024.90625,392065.875,392103.09375,392141.21875,392175.6875,392210.90625,392242.71875,392271.90625,397545.0,397589.8125,392342.90625,392362.625
Daytona Beach - FL,231745.703125,232035.0,232343.5,232693.796875,233022.703125,233377.8125,233736.6875,234081.09375,234404.40625,234714.796875,235008.796875,235319.203125,235643.703125,235982.703125,236336.703125,236697.203125,237067.90625,237439.109375,237805.890625,238170.0,233731.59375,234086.8125,234440.09375,234794.6875,235148.1875,235501.6875,235852.90625,236200.296875,236551.609375,236900.890625,237251.796875,237598.796875,237949.09375,238297.109375,238647.703125,243944.5,244305.09375,239691.890625,240041.5
Denver - CO,1654774.0,1657465.0,1660341.0,1663269.0,1666368.0,1669481.0,1672539.0,1675588.0,1678617.0,1681609.0,1684555.0,1687668.0,1690953.0,1694268.0,1697672.0,1701117.0,1704576.0,1708004.0,1711405.0,1714789.0,1688672.0,1691912.0,1695157.0,1698346.0,1701535.0,1704701.0,1707886.0,1711083.0,1714245.0,1717413.0,1720553.0,1723709.0,1726849.0,1729988.0,1733115.0,1792136.0,1795431.0,1742541.0,1745660.0
Des Moines - IA,411953.0,412318.90625,412776.78125,413217.1875,413681.6875,414185.78125,414659.5,415131.28125,415599.625,416091.1875,416584.8125,417102.6875,417654.3125,418205.5,418779.3125,419354.875,419935.40625,420514.40625,421082.6875,421640.40625,419196.0,419777.59375,420355.1875,420934.21875,421507.375,422077.3125,422642.78125,423203.625,423770.0,424334.28125,424897.875,425454.40625,426014.0,426570.0,427124.59375,423447.28125,423999.125,428768.3125,429314.0
Detroit - MI,2068577.875,2068978.0,2069664.0,2070245.125,2070732.875,2071106.0,2071349.125,2071606.875,2071896.0,2072242.0,2072745.125,2073440.875,2074287.125,2075245.125,2076264.875,2077297.125,2078373.0,2079418.0,2080403.125,2081330.125,2055920.875,2056572.0,2057178.0,2057758.0,2058313.0,2058868.875,2059436.0,2060008.0,2060565.0,2061117.0,2061660.875,2062201.875,2062721.875,2063235.125,2063738.0,2101751.0,2102367.0,2065205.125,2065674.125
Durham - NC,359933.0,360288.21875,360703.5,361126.1875,361554.5,361972.1875,362402.59375,362852.59375,363296.6875,363743.8125,364223.0,364766.6875,365332.3125,365918.90625,366528.90625,367137.21875,367739.09375,368338.5,368934.90625,369519.71875,366875.3125,367426.40625,367977.0,368526.625,369074.875,369622.8125,370170.8125,370716.71875,371266.21875,371813.6875,372359.59375,372908.375,373456.59375,374004.6875,374551.3125,384760.09375,385373.28125,376194.09375,376741.3125
East Bay - CA,1180922.0,1181730.0,1182753.0,1183702.0,1184714.0,1185777.0,1186867.0,1187962.0,1189060.0,1190145.0,1191241.0,1192500.0,1193932.0,1195396.0,1196917.0,1198463.0,1200017.0,1201584.0,1203119.0,1204614.0,1185435.0,1186915.0,1188388.0,1189873.0,1191345.0,1192818.0,1194278.0,1195751.0,1197210.0,1198670.0,1200135.0,1201603.0,1203077.0,1204539.0,1206000.0,1282265.0,1283958.0,1210380.0,1211825.0
El Paso - TX,360209.90625,360673.875,361170.28125,361726.28125,362292.78125,362840.90625,363382.28125,363921.125,364455.28125,364982.40625,365514.5,366104.0,366742.875,367404.6875,368092.09375,368785.1875,369488.71875,370187.09375,370872.1875,371546.5,364201.59375,364857.3125,365510.90625,366169.40625,366818.78125,367463.90625,368103.40625,368738.8125,369368.90625,370005.71875,370629.90625,371261.8125,371887.3125,372516.125,373129.90625,379777.09375,380404.78125,374991.90625,375601.5
Fayetteville - NC,134660.203125,134668.59375,134682.09375,134729.0,134789.59375,134855.1875,134915.609375,134982.703125,135042.296875,135115.40625,135196.703125,135271.1875,135355.890625,135448.203125,135546.09375,135647.59375,135754.203125,135867.40625,135974.90625,136078.703125,133834.109375,133925.796875,134018.40625,134103.390625,134192.09375,134275.609375,134362.3125,134444.5,134531.09375,134618.8125,134698.296875,134784.609375,134865.0,134950.890625,135029.09375,143786.109375,143885.609375,135278.3125,135360.390625
Flint - MI,143436.09375,143452.5,143469.609375,143497.296875,143520.203125,143542.5,143555.6875,143549.296875,143536.296875,143530.703125,143543.203125,143574.796875,143615.59375,143667.203125,143726.0,143785.5,143846.5,143905.8125,143960.203125,144006.8125,142138.390625,142163.890625,142186.59375,142211.90625,142234.296875,142256.609375,142276.203125,142295.390625,142313.90625,142326.796875,142334.703125,142337.90625,142343.0,142347.703125,142352.796875,144647.59375,144669.40625,142366.109375,142368.8125
Fort Lauderdale - FL,940135.625,940998.0,942101.625,943330.8125,944629.5625,945974.9375,947309.875,948613.25,949869.0,951110.4375,952306.5,953552.9375,954862.6875,956230.4375,957641.0,959060.125,960507.0625,961950.6875,963383.3125,964828.9375,948918.25,950235.125,951538.0,952830.375,954118.3125,955389.375,956662.75,957927.625,959200.3125,960466.625,961731.875,962987.9375,964250.125,965507.875,966767.0,1007798.0,1009256.0,970542.4375,971803.5625
Fort Myers - FL,318775.21875,319400.0,320056.625,320751.8125,321491.90625,322274.6875,323051.6875,323797.5,324512.59375,325215.6875,325919.59375,326644.5,327414.875,328200.40625,329001.90625,329811.8125,330631.09375,331462.09375,332285.8125,333081.09375,327696.09375,328479.71875,329267.09375,330055.125,330845.0,331630.09375,332410.0,333188.59375,333969.09375,334757.59375,335541.28125,336328.625,337119.0,337914.09375,338702.0,349704.1875,350541.5,341082.3125,341874.375
