Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Baton Rouge - LA,36285,36616,36810,36877,37153,37277,37501,37501,38147,38501,38501,39481,39517,39732,40236,40236,40512,40512,40722,40722,40754,41024,41179,41179,41119,41288,41512,41522,41654,41654,41953,42673,42681,43488,43945,44047,44099,44463,44677,44677,44677,44677,44677,44675,44758,45091,45092,45121,45168,45228,45298,45374,45455,45540,45628,45717,45807,45898,45989,46079,46169,46258,46347,46436,46524,46611,46698,46785,46872,46958,47044,47131,47217,47303,47388,47474,47559,47644,47729,47814,47898,47982,48067
Beaumont - TX,16988,16988,16998,16998,16998,16998,16998,17024,17024,17024,17024,17024,17024,17104,17226,17226,17512,17610,17610,17610,17767,17767,17767,17987,18443,18443,18443,18443,18453,18463,18668,18728,18728,18728,18836,18836,18836,18836,19040,19040,19040,19040,19040,19039,19038,19037,19037,19041,19047,19053,19061,19068,19077,19086,19095,19104,19113,19122,19131,19141,19150,19160,19170,19180,19189,19199,19209,19219,19230,19240,19250,19260,19271,19281,19292,19302,19313,19324,19335,19346,19357,19368,19379
Birmingham - AL,59275,59275,60216,60359,60512,60643,60643,60643,60643,60643,60643,60643,60651,60707,60707,60667,61127,61167,61365,61684,61942,61978,62437,62651,62937,63130,63196,63312,63730,63812,64302,64906,65026,65606,65883,65857,66012,66576,67136,68265,68265,68265,68265,68263,68549,68546,68646,68694,68773,68875,68992,69121,69257,69400,69548,69698,69849,70002,70154,70306,70458,70609,70759,70908,71057,71205,71352,71499,71646,71792,71939,72085,72232,72378,72524,72670,72815,72960,73105,73250,73395,73539,73684
Boise - ID,21167,21545,21641,22082,22491,22729,23328,23490,24120,24633,25155,25583,26225,27454,27625,27985,29295,29487,30466,30920,31873,32407,32945,33307,33811,34470,35186,35667,36136,37790,38551,39024,39140,40826,41924,42280,42590,43315,43323,43443,44080,44873,44185,45136,45292,45300,45379,45537,46256,46448,46658,46881,47114,47355,47603,47856,48111,48368,48624,48878,49131,49382,49630,49877,50122,50365,50607,50847,51086,51323,51558,51792,52024,52255,52484,52711,52936,53160,53382,53603,53822,54039,54254
Boston - MA,214775,216205,217696,220244,221243,224716,227647,229328,231950,235595,236599,237971,238969,240997,243384,245880,249035,251333,255359,257598,258963,261903,264184,265867,266434,268836,270672,272565,274729,275718,279284,281098,282828,285012,286470,288847,290248,293318,296220,298186,299530,300835,300071,303180,304708,308167,310263,311794,313279,314188,316232,317958,319209,320379,321552,322778,324042,325336,326652,327982,329321,330668,332017,333369,334721,336072,337423,338771,340117,341459,342798,344134,345465,346793,348116,349435,350751,352063,353372,354676,355978,357275,358569
Brownsville-Harlingen - TX,9434,9434,9514,9668,9684,9684,9714,9794,9822,9934,9934,9934,9994,10034,10034,10050,10050,10130,10130,10130,10266,10266,10266,10328,10328,10340,10410,10446,10679,10679,10685,10701,10766,10766,10966,10990,11032,11038,11068,11068,11174,11188,11174,11187,11393,11392,11393,11399,11406,11415,11424,11435,11445,11456,11468,11479,11491,11502,11514,11526,11538,11551,11563,11576,11589,11602,11615,11628,11642,11655,11669,11682,11696,11710,11724,11738,11752,11767,11781,11796,11811,11825,11840
Buffalo - NY,41041,41215,41690,41877,42218,42521,42859,42908,43011,43288,43309,43556,43595,44202,44459,44626,44681,44870,45135,45462,45684,45971,46071,46527,46651,46717,46947,47257,47392,47392,47430,48188,48219,48327,48926,49040,49117,49210,49302,49357,49603,49711,49647,50097,50146,50145,50744,50795,50965,50997,51040,51093,51153,51219,51289,51363,51439,51518,51598,51679,51760,51842,51925,52007,52090,52173,52256,52338,52421,52504,52587,52670,52753,52836,52918,53001,53084,53167,53249,53332,53415,53498,53581
Canton - OH,12477,12467,12467,12467,12515,12515,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12740,12740,12740,12827,12827,12827,12827,12827,12827,12827,12827,12827,12816,12869,12869,12869,12869,12869,12869,12869,12869,12869,12868,12867,12867,12866,12866,12867,12869,12872,12875,12879,12883,12887,12891,12896,12900,12905,12910,12914,12919,12924,12928,12933,12937,12942,12947,12951,12956,12960,12964,12969,12973,12978,12982,12986,12990,12995,12999,13003,13007,13011
Charleston - SC,41016,41312,41990,42671,43141,45035,45775,46663,48070,48699,49704,50465,51059,51689,51910,52533,53547,54306,55585,56255,56951,58129,59688,60556,60950,61286,62308,63489,64039,64832,65568,66260,67202,68445,70180,71579,72801,74375,74632,74646,75576,75576,75576,76520,77281,77815,78144,78271,78476,78735,79033,79359,79705,80066,80439,80818,81202,81588,81974,82358,82741,83121,83500,83876,84251,84624,84996,85366,85734,86102,86470,86838,87205,87572,87938,88302,88666,89029,89391,89753,90114,90474,90833
Charlotte - NC,142816,145304,146591,147923,149430,152013,154423,156575,157890,160701,162598,165111,166305,167986,169748,171484,173019,175135,178737,181005,183382,185974,190054,191836,193129,195048,197182,199458,203263,205710,210509,213712,217740,221574,225665,230665,235151,239662,243182,245287,249435,253562,251831,256456,259080,261416,263835,265123,266849,267841,269318,270618,272008,273519,275126,276807,278542,280312,282100,283898,285700,287499,289295,291088,292876,294658,296434,298202,299964,301718,303467,305208,306943,308672,310397,312117,313832,315543,317250,318954,320653,322350,324043
