Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1
Palm Beach - FL,61107,61288,61697,62710,63468,63944,64359,65353,66484,67111,67496,68180,68171,68563,69252,69612,70232,70244,70514,71901,72424,73034,73290,73992,74358,75265,76042,76332,76821,77963,78629,79294,80049,81481,83174,83286,83486,84019,83973,84160,84430
Pensacola - FL,14659,14723,14723,14723,14973,15213,15585,15585,15843,15843,15843,16071,16071,16071,16071,16071,16071,16063,16087,16178,16528,16528,16882,17358,17670,17892,17997,18372,18811,19632,20087,20257,20924,20924,21248,21741,22071,22071,22457,22467,22695
Philadelphia - PA,305347,307299,308247,308724,310092,311931,313673,314794,315618,316450,319408,321416,322931,324977,325673,327296,330138,331320,334016,335724,336754,339170,341404,343011,344058,345211,347840,349752,352196,355102,360721,363483,366748,370680,374409,376526,378310,380691,382917,383857,385052
Phoenix - AZ,300578,301782,303029,304203,304669,306321,309144,310364,313553,314865,317235,319518,320722,322571,323979,328688,330840,333170,334728,336708,339709,343864,346122,348751,352483,355953,359281,363603,368238,372540,377488,382585,387844,394951,400556,408140,413516,417862,424527,429506,433487
Pittsburgh - PA,94315,95238,95591,96275,97053,97283,98346,98367,98575,98948,99139,99139,99139,99263,99623,99681,100525,100738,100907,101042,101079,101219,102036,102409,102608,102893,102990,103236,103826,104587,104980,104980,105733,105758,106053,106664,106734,107731,107791,108732,109296
Port St. Lucie - FL,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8728,8728,9037,9037,9047,9647,9847,9847,9947,10231,10231,10241,10565,10667,10675,10841,11465,12477,13666,14372,14498,15146,15146,15366,15366,15366,15499,15499,15591
Portland - ME,14252,14252,14292,14374,14419,14612,14789,14945,14945,14948,14948,15320,15389,15401,15496,15496,15496,15568,15693,16000,16130,16246,16393,16457,16481,16481,16649,16757,17127,17212,17675,18205,18508,18560,18749,18809,19180,19244,19430,19430,19430
Portland - OR,178298,179283,181278,182361,184348,185336,186440,187979,190363,191666,193479,194899,196099,198266,199860,201802,203659,205451,207911,209309,211159,213749,215054,216098,217815,218732,219353,220014,222752,224738,226705,227242,229410,231521,234199,235706,236548,237568,239228,239871,240569
Poughkeepsie - NY,19980,20461,20466,20626,20626,20705,20705,20713,20904,20974,20998,20998,21021,21136,21952,21968,22261,22390,22408,22502,22514,22514,22514,22520,22560,22622,22731,22981,23160,23178,23178,23212,23282,23441,23715,23746,23857,23857,23937,24041,24041
Providence - RI,55955,55989,56422,56522,56874,56866,56990,57547,58095,58232,58490,58799,59041,59281,59299,59313,59600,60056,60231,60437,60490,60597,60848,61002,61214,61332,61711,61812,61872,62358,62500,62642,62897,62945,63063,63518,63725,64160,64393,64646,64688
Provo - UT,9269,9647,9696,9740,9903,10539,10649,11124,11592,11767,11936,12129,12976,13203,13203,13280,14095,14352,14489,15066,15066,15066,15163,15365,15561,16137,16737,17629,17981,18205,19509,19845,20609,20917,21586,21586,21586,21960,22413,22724,23371
Raleigh - NC,87999,88807,90168,91121,91075,91889,93433,93973,95425,95480,96827,97441,98434,98951,99950,101142,101760,103444,105568,106618,107099,107501,108063,108725,110425,111010,111991,112654,114898,117505,120206,122650,125181,127620,129753,131482,134114,135399,137410,138528,139355
Reading - PA,10342,10342,10342,10342,10342,10358,10358,10358,10358,10457,10457,10457,10457,10539,10749,10749,10749,10749,10749,10749,10749,10749,10749,10749,10769,10769,10769,10769,10769,10789,10789,10969,11078,11078,11156,11156,11230,11230,11535,11535,11535
Reno - NV,34092,34092,34453,34453,34904,34904,35692,35318,35329,35695,36216,36556,36884,37093,37082,38111,38157,39027,39417,39437,40079,40570,40946,41183,41514,41575,42271,42384,42746,43757,44332,45162,45466,46344,46811,47260,47260,47965,47965,47988,47988
Richmond - VA,79635,80421,80813,81005,81649,81943,82024,82477,82850,83781,84413,85521,85547,85704,86785,87478,88194,89066,89788,90948,91576,91895,92104,93853,94521,95096,95518,95884,97379,98647,99355,101080,101455,101797,103201,104091,105481,106334,106889,107835,108359
Rochester - NY,51776,52131,52579,52667,52729,53004,53392,53439,53538,53718,53919,53964,54206,54361,54463,55435,55532,55569,55569,55569,55683,55896,56373,56391,56704,56961,57473,57473,57625,58042,58368,58483,58584,58851,58851,59109,59117,59266,59421,59439,59519
Sacramento - CA,128103,128118,128231,128243,128361,128631,128631,128955,128955,129621,129954,130789,130782,131020,131335,131861,132395,132690,133295,133685,133724,133809,134276,134459,134867,135645,136648,137326,137710,138543,139436,140340,140841,141799,142903,143709,144049,144743,145220,145687,146090
Saint Louis - MO,127547,127739,128032,128805,129898,130132,130642,131166,131130,132469,133011,133642,134206,134914,135321,135421,136473,137349,138438,138715,139360,139919,140129,140123,141172,141873,144277,145049,145466,146817,147930,149010,149718,150011,151104,151794,152161,153050,153823,154157,154326
Salem - OR,24611,24611,24611,24791,24861,24861,25215,25356,25373,25590,25614,25622,25684,26112,26112,26208,26453,26453,26688,27064,27400,27615,27638,27665,27821,28161,28205,28789,28819,28827,29183,29507,29763,30417,30696,30762,30833,31216,31283,31397,31561
Salinas - CA,19773,19773,19773,19773,19773,19773,19773,19821,19821,19821,19821,19821,19821,19821,19821,19821,19821,19821,19847,19847,19847,19847,19857,19857,19857,19857,19917,19917,19923,19923,19923,19923,19945,19945,19945,19945,20051,20051,20051,20051,20091
Salisbury - MD,4684,4684,4684,4684,4684,4684,4684,4684,4759,4759,4759,4759,4759,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5047,5107,5303,5499,5499,5693,5765,5765,5765,5765,5765,5765,5765,5765,5765
Salt Lake City - UT,59552,59922,60742,61446,62037,63915,64713,65089,66142,66791,68340,69370,70198,71726,72375,73524,74588,76294,76601,76839,77293,78660,79875,81364,81979,82952,84869,85772,86668,88848,90033,91052,92057,93869,95242,96155,96836,99160,99822,100917,101732
San Antonio - TX,164915,166886,167886,169343,169977,171962,174534,176150,178160,179205,180096,181308,183408,183854,185287,186071,187623,190168,192889,194282,195554,196371,197998,198761,199835,200576,201716,204996,206262,209292,210286,211851,215326,218014,222345,225027,227657,228660,231390,231774,233919
San Diego - CA,247610,248465,248762,249202,249714,250491,251494,252435,253156,254643,256318,257508,257969,258594,259619,261729,261976,262596,263538,264158,264716,267239,268350,269067,270103,271500,271770,272336,273612,274306,275706,277158,277447,279492,280338,281855,283414,284569,286637,287979,289509
San Francisco - CA,166650,168776,169305,169326,170129,172397,172975,173108,174465,175385,175562,175562,175660,176862,177507,177628,178027,178780,179771,180498,180594,181293,182769,183243,184077,184104,185051,185400,185720,186196,186366,186655,187702,188678,189447,189447,189625,190694,190826,191173,191173
San Jose - CA,134272,134512,137083,138453,138661,139760,139766,140161,140633,141284,141905,142286,142572,143151,146600,147038,147930,148408,149547,150048,151072,151108,152464,152939,152992,154201,155171,155647,155929,155859,156225,156225,156540,157149,158023,160038,161081,162574,162574,162561,162561
Santa Barbara - CA,19400,19400,19678,19678,19869,19827,19827,19827,19863,19863,20021,20107,20107,20112,20112,20112,20154,20282,20392,20759,20765,20771,20771,20947,20947,20970,20970,20970,21000,21000,21000,21167,21155,21174,21282,21299,21299,21299,21334,21334,21334
Santa Rosa - CA,21747,21747,21747,21857,21917,21953,21973,21735,21735,21735,21831,21831,21843,22028,22061,22258,22467,22504,22922,22922,22940,22940,22983,22983,22983,23030,23120,23354,23862,23862,23862,24134,24278,24412,24418,24566,24566,24973,24973,24973,25233
Sarasota - FL,24681,25380,26100,26328,26794,26794,26804,26794,26800,27438,28205,28516,28516,29082,29501,30842,31566,31584,32628,33230,34064,34504,35111,35111,35557,35562,35667,36552,37492,39142,39782,39974,40902,42857,43712,44879,45864,47267,48093,49973,50398
Savannah - GA,22380,22380,22700,22820,23396,23412,23692,24410,24675,24773,24773,25280,25554,25554,25554,25826,26582,27984,28259,28359,29153,29836,29869,30284,30284,30284,30638,30782,31313,32074,33190,33190,33664,34653,35627,36287,36449,38199,39095,40036,40789
Scranton - PA,9294,9294,9319,9319,9319,9319,9319,9319,9319,9319,9319,9343,9343,9343,9343,9463,9463,9550,9598,9598,9699,9699,9699,9699,9759,9800,9800,9800,9818,9818,9826,9861,9894,9926,9938,9938,9938,10014,10014,10014,10014
Seattle - WA,299934,302236,304933,308778,310072,312332,316027,318206,320537,322977,326161,329277,332504,335675,339107,341486,343634,344579,347376,349100,351995,355134,357592,359631,362368,365832,369324,371142,372927,374350,377573,379531,382576,386970,391300,394205,397603,400992,403462,404520,405628
Shreveport - LA,23633,23633,23705,23705,23705,23705,23673,23673,23673,23673,23673,23673,23673,23745,23745,23745,23745,23745,23745,23745,23745,23745,23583,23583,23583,23583,23583,23865,23865,23865,23929,23897,23897,24133,24133,24133,23957,23957,23957,23957,24091
Spokane - WA,32594,32993,33242,33314,33893,33916,34257,34381,34393,34619,35273,35739,35779,36007,36013,36221,36489,36564,37159,37466,37695,38024,38646,38664,38851,39149,39380,39543,39819,40004,40705,41076,41685,42245,42936,43148,43394,43473,43932,43932,43932
Springfield - MA,18777,18777,18777,18810,18810,18810,18810,18810,18810,18828,18828,18828,18828,18828,18828,18828,18828,18828,18828,18828,18828,18888,18888,18888,18888,18888,18888,18893,18893,18893,18893,18893,18967,18967,18967,18967,19015,19021,19021,19021,19021
Springfield - MO,22881,22946,22890,22996,23072,23096,23332,23413,23389,23401,23491,23527,23654,23720,23836,23861,23962,24003,24147,24186,24258,24258,24474,24696,24696,24854,24878,24929,24929,25752,25876,25894,26134,26329,26591,26928,27012,27039,27360,27502,27573
Stamford - CT,27577,28048,28327,28674,28686,28698,29261,29355,30222,30510,31290,31561,32365,32365,32446,33512,34023,34238,34307,34589,35225,35839,36116,36541,36541,36716,37113,37628,38392,38596,38885,38925,39303,40126,40769,41138,41149,41706,42581,43186,43451
Stockton - CA,25288,25636,25636,25636,25636,25636,25620,25604,26224,26224,26224,26219,26219,26373,26373,26583,26750,27054,27054,27210,27210,27456,27602,27818,27818,27818,27990,28422,28614,28643,28847,28955,29299,29299,29299,29299,29299,29666,29666,29666,29672
Syracuse - NY,31790,31890,32048,32064,32332,32468,32859,32859,32958,32958,32958,33070,33070,33070,33086,33098,33098,33098,33337,33498,33556,33669,33669,33728,33750,33809,33888,34035,34302,34302,34302,34398,34338,34404,34732,34915,34981,34714,35092,35092,35092
Tallahassee - FL,20851,20851,20937,20937,20969,20974,21522,21523,21529,21797,22105,22405,22649,22649,22649,22583,22516,22516,22556,22880,22900,22900,23152,23152,23152,23152,23152,23152,23412,23722,23737,23898,24693,24798,24792,24792,25092,25092,25092,25320,25365
Tampa - FL,177057,178010,179177,180327,181735,182415,182282,184117,185099,187141,188197,191755,192881,194009,195603,195666,197344,198643,200779,202257,203334,205719,207322,208601,210198,213592,216014,216765,218061,220419,222136,223391,227794,230906,234232,236271,239882,240719,243258,244709,246325
Toledo - OH,36487,36487,36487,36487,36487,36645,36645,37435,37753,37745,37745,37853,37965,38015,38015,38015,38394,38394,38599,38646,38898,39232,39232,39232,39190,39383,39383,39635,39851,39851,39975,40104,40299,40437,40437,40469,40731,40799,41119,41119,41311
Trenton - NJ,17069,17119,17711,17711,17711,17873,18100,18100,18100,18100,18100,18332,18332,18390,18390,18390,18920,18955,18990,19054,19071,19891,20334,20353,20353,20353,20359,20359,20359,20359,20580,20623,20923,20965,20965,20965,21470,22396,22931,23040,23040
Tucson - AZ,78822,78822,78822,79090,79090,79084,79109,79109,79349,79344,79439,79439,79439,79468,79502,80016,80076,80076,80176,80176,80854,80964,81685,81911,81866,81874,81874,81874,81874,82146,82900,83138,83801,83827,85340,85369,85548,85524,85535,85912,85832
Tulsa - OK,58068,58536,58542,58546,59041,59486,59726,60558,60558,60574,60584,60656,60716,60815,60815,60815,61672,61672,61768,61768,61768,61768,61816,62266,62271,62695,62853,62991,63030,63042,63356,63356,64500,64762,65242,65791,65797,66504,67232,67666,67885
Vallejo-Fairfield - CA,16794,17022,17022,17022,17386,17386,17449,17449,17449,17459,17459,17459,17459,17459,17474,17474,17474,17719,17719,17719,17719,17719,17719,17719,17879,17879,18160,18160,18160,18197,18272,18404,18404,18404,18404,18404,18866,19035,19107,19107,19461
Ventura - CA,33008,33243,33243,33243,33163,33156,33202,33156,33606,33606,33982,34201,34296,34296,34746,35111,35156,35196,35196,35499,35535,35543,35543,35597,35592,36089,36229,36229,36366,36366,36718,36761,37067,37067,37067,37067,37067,37393,37825,38210,38242
Visalia - CA,6980,6980,6980,6980,7148,7148,7148,7156,7156,7156,7156,7156,7156,7156,7156,7324,7324,7324,7324,7324,7324,7324,7324,7324,7324,7324,7324,7324,7450,7530,7838,7925,7925,7925,7925,7896,8115,8163,8379,8379,8379
Washington - DC,462904,467545,469928,472360,475348,479028,481254,483557,486992,488841,491931,494344,497064,500915,505429,507983,511876,516393,519005,522754,524551,529737,533607,536777,538868,540998,545756,548936,551832,554687,558080,562119,565597,568561,573894,579817,582815,586443,589514,591901,592850
Wichita - KS,31137,31385,31639,31879,32107,32270,32316,32604,32775,33093,33278,33278,34056,34404,34404,34404,34404,34404,34412,34412,34412,34616,34616,34616,34634,34634,34740,34740,34816,35499,35670,35724,36100,36100,36208,36331,36331,36331,36727,36727,36866
Winston-Salem - NC,30225,30395,30395,30395,30395,30771,30886,30925,30925,30925,30925,31064,31293,31293,31629,31973,32229,32229,32229,32321,32321,32321,32321,32321,32321,32627,32851,33445,33445,33445,33687,34069,34377,34889,34978,34978,35000,35000,35000,35008,35059
Worcester - MA,25119,25119,25414,25465,25465,25561,25561,25561,25964,25994,26383,26383,26431,26475,26578,26578,26590,26590,26662,26866,26965,27090,27162,27186,27498,27624,27745,27745,28050,28201,28260,28488,28967,29192,29683,29905,29905,30088,30088,30088,30555
York - PA,10527,10603,10603,10629,10485,10513,10513,10566,10524,10524,10559,10559,10573,10952,11062,11062,11216,11216,11216,11339,11339,11458,11490,11506,11522,11522,11527,11527,11527,11936,12176,12347,12347,12388,12388,12486,13470,13710,13710,13765,13913
Youngstown - OH,15420,15462,15462,15462,15666,15637,15637,15637,15637,15637,15637,15637,15703,15703,15703,15703,15835,15835,15835,15835,15843,15843,15843,15843,15843,15843,15843,15843,15843,15843,15843,15843,15843,15843,15820,15721,15721,15721,15733,15733,15733
