Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
Seattle - WA,1920282.0,1940462.0,1952406.0,1965406.0,1977770.0,1992772.0,2000026.0,2009830.0,2026842.0,2037672.0,2044312.0,2056900.875,2065396.0,2083826.875,2095980.0,2107881.0,2116436.0,1887369.0,1949328.0,1960487.0,1962810.0,1989356.0,2022385.0,2056775.875,2074051.0,2090936.0,2106500.0,2111293.0,2116743.0,2121548.0,2113146.0,2119230.0,2131856.0,2145862.0,2148361.0,2152519.0,2163726.0,2164861.0,2161327.0,2164336.0,2166660.0,2170003.0,,2173507.0,2177544.0,2181494.0,2185543.0,2189632.0,2193553.0,2197289.0,2200853.0,2204422.0,2208095.0,2212006.0,2216059.0,2220309.0,2224658.0,2229104.0,2233585.0,2238082.0,2242517.0,2246836.0,2216070.0,2220144.0,2224221.0,2228254.0,2232296.0,2236312.0,2240348.0,2244410.0,2248456.0,2252516.0,2256537.0,2260579.0,2264609.0,2268669.0,2272706.0,2276781.0,2280823.0,2284891.0,2288926.0
Shreveport - LA,170355.703125,169481.703125,168602.09375,168678.203125,168709.0,167906.296875,168773.703125,168717.609375,168795.296875,169772.703125,169837.5,169163.890625,169547.890625,169139.796875,169028.5,168175.796875,167477.40625,149147.40625,155501.203125,158367.296875,158244.90625,159283.0,161109.703125,162488.09375,163674.296875,164353.1875,165581.5,165915.609375,167174.390625,168375.703125,166869.40625,167033.703125,167275.0,167388.3125,168174.5,169234.296875,169920.5,169225.296875,169149.5,169019.203125,168915.09375,168773.703125,,168640.5,168507.40625,168382.796875,168273.0,168102.203125,167918.703125,167707.59375,167496.3125,167287.40625,167139.5,167026.796875,166944.90625,166866.5,166798.59375,166729.40625,166666.203125,166597.390625,166525.0,166449.40625,165370.703125,165295.703125,165219.0,165147.40625,165071.703125,164998.90625,164924.0,164849.109375,164775.40625,164700.0,164626.5,164553.0,164481.90625,164407.0,164333.890625,164259.09375,164185.59375,164108.3125,164032.390625
Spokane - WA,235572.796875,236203.90625,237891.5,239756.703125,239181.90625,241140.703125,242680.890625,243588.5,245705.0,246781.59375,247678.296875,249068.09375,249928.5,251561.796875,252859.703125,254447.09375,256583.09375,229934.203125,239719.890625,239884.796875,244317.90625,248965.109375,254343.40625,257475.0,259048.1875,259391.203125,261491.796875,262200.0,262902.5,263553.3125,264918.09375,265179.0,265885.90625,267527.40625,267287.40625,268166.09375,267562.90625,267243.71875,267492.8125,267618.8125,267647.0,267815.1875,,267998.09375,268221.90625,268423.3125,268652.59375,268869.375,269061.875,269230.1875,269385.71875,269534.78125,269702.21875,269930.78125,270201.375,270482.5,270778.6875,271080.6875,271411.59375,271743.09375,272067.0,272382.125,267285.875,267602.5,267917.21875,268234.90625,268546.59375,268855.71875,269159.0,269464.8125,269769.1875,270069.09375,270362.78125,270657.0,270951.125,271240.90625,271525.6875,271813.6875,272099.0,272381.71875,272659.78125
Springfield - MA,207252.203125,207546.90625,209364.5,209275.5,209654.5,210415.5,211025.40625,211229.90625,210727.90625,211341.5,212538.296875,214010.09375,215113.5,214530.203125,214376.0,216678.40625,216613.90625,180330.0,193907.296875,200176.296875,202214.796875,204706.796875,207293.390625,207655.109375,208863.6875,210308.203125,210443.796875,208094.1875,209076.296875,208371.59375,208461.8125,207899.796875,208093.3125,208091.703125,207886.5,208733.40625,209004.296875,209241.703125,209372.890625,209516.6875,209554.5,209589.796875,,209603.296875,209640.5,209639.09375,209638.703125,209625.5,209596.0,209562.609375,209533.09375,209504.890625,209489.390625,209518.296875,209586.703125,209651.90625,209733.3125,209811.203125,209904.296875,209994.59375,210078.90625,210155.703125,207505.59375,207588.5,207667.296875,207760.1875,207849.109375,207941.09375,208027.203125,208113.609375,208204.609375,208291.90625,208382.0,208469.09375,208561.0,208646.609375,208734.296875,208819.3125,208907.59375,208990.09375,209074.796875
Springfield - MO,208282.59375,208776.90625,209630.5,210173.90625,211418.90625,212246.40625,212125.0,212728.0,213556.703125,214972.203125,216235.5,217372.703125,217909.390625,218759.5,219440.5,220278.59375,219947.40625,202569.796875,213847.703125,215979.59375,216849.203125,218593.703125,220188.796875,222777.203125,224714.90625,225648.796875,227071.796875,228317.203125,229694.109375,230217.796875,230991.0,232419.40625,232871.09375,234336.90625,235598.0,237530.0,237547.390625,238226.0,239511.59375,239721.609375,239849.390625,240039.90625,,240226.390625,240455.0,240664.390625,240926.40625,241188.0,241430.5,241647.09375,241860.59375,242083.890625,242325.5,242599.59375,242906.796875,243210.609375,243526.09375,243843.703125,244188.90625,244529.5,244861.6875,245195.6875,243653.203125,243992.0,244328.09375,244671.296875,245008.890625,245349.390625,245682.40625,246016.5,246348.296875,246677.59375,247003.0,247327.609375,247651.203125,247969.40625,248282.8125,248597.203125,248909.890625,249218.796875,249523.5
Stamford - CT,406626.5,405851.71875,406161.09375,404175.5,403796.375,402589.125,403723.90625,402085.78125,403085.375,403430.78125,403126.71875,403283.1875,401336.6875,401153.40625,399964.1875,400621.78125,399825.71875,337147.5,364422.5,371813.0,373627.28125,378143.1875,383697.6875,387625.09375,392285.40625,394494.28125,397708.3125,398963.71875,403263.78125,403788.6875,405625.625,407259.40625,407316.0,408637.09375,408753.21875,410944.875,411115.375,411864.09375,411903.40625,412001.8125,411836.59375,411694.3125,,411554.1875,411465.0,411368.28125,411250.09375,411118.09375,410936.625,410755.09375,410568.0,410392.6875,410230.90625,410139.8125,410101.40625,410089.1875,410100.71875,410108.875,410127.09375,410133.6875,410127.40625,410089.8125,403705.6875,403679.90625,403652.5,403625.3125,403596.71875,403568.59375,403538.3125,403500.40625,403460.78125,403422.6875,403379.40625,403333.90625,403287.8125,403240.375,403190.40625,403137.78125,403082.6875,403028.5,402971.3125
Stockton - CA,222243.5,223105.390625,225589.59375,228509.203125,230094.0,234116.8125,236349.796875,237829.1875,239248.703125,240086.703125,242082.5,243042.0,244070.5,245867.203125,247362.0,249880.203125,252282.890625,231876.796875,242333.890625,248086.5,248918.203125,252728.1875,256542.609375,262726.28125,270104.1875,272402.40625,274129.09375,271861.6875,271629.3125,273543.90625,274783.0,276888.40625,277157.59375,277377.6875,278184.8125,283316.90625,283390.5,283156.59375,283525.5,283739.5,283950.0,284263.40625,,284685.90625,285178.8125,285711.6875,286258.59375,286780.0,287300.1875,287858.09375,288391.28125,288903.40625,289381.40625,289878.375,290410.0,290944.09375,291498.09375,292057.59375,292626.3125,293191.1875,293749.21875,294312.09375,293474.21875,294034.09375,294592.59375,295158.8125,295720.21875,296277.59375,296832.625,297392.90625,297952.78125,298506.09375,299064.09375,299621.09375,300182.09375,300736.375,301293.3125,301847.8125,302404.78125,302956.59375,303509.78125
Syracuse - NY,314119.1875,315692.0,315626.0,315527.09375,315846.59375,315207.21875,316388.21875,317294.3125,317356.5,318860.90625,319790.09375,319283.90625,319425.125,320463.1875,319131.71875,318117.3125,318820.5,272370.6875,292168.0,294129.6875,295988.3125,297552.625,299327.5,302941.09375,305969.3125,305412.8125,308083.40625,310009.0,309434.21875,309909.90625,311509.625,311382.6875,313340.5,315276.3125,315924.71875,319036.71875,320600.40625,321334.28125,321634.71875,321314.5,321098.6875,320956.59375,,320839.375,320759.71875,320628.28125,320500.875,320368.28125,320227.375,320081.78125,319913.09375,319744.125,319562.09375,319412.59375,319306.78125,319210.0,319133.78125,319062.8125,318991.09375,318922.21875,318843.5,318759.09375,314590.3125,314497.90625,314409.6875,314328.3125,314241.5,314153.1875,314061.1875,313968.0,313873.8125,313780.78125,313685.09375,313591.625,313498.40625,313403.90625,313308.59375,313215.5,313121.40625,313026.09375,312931.6875
Tallahassee - FL,172483.0,174867.296875,176980.609375,177563.0,176798.203125,178325.609375,177437.296875,179004.390625,180509.796875,181197.5,181528.59375,182514.5,184159.609375,184225.5,184088.8125,184643.40625,184645.203125,170750.796875,177787.5,178371.59375,179679.796875,181328.90625,184501.40625,186251.5,186618.609375,190209.203125,192153.109375,192535.40625,194254.109375,194218.203125,196030.703125,197991.890625,199923.0,200044.5,201869.5,203917.296875,204553.796875,204193.6875,204203.703125,204228.0,204252.703125,204328.59375,,204436.703125,204547.0,204698.296875,204883.1875,205075.890625,205257.40625,205414.390625,205547.5,205667.203125,205792.609375,205935.109375,206111.40625,206289.59375,206473.90625,206659.8125,206854.796875,207049.390625,207237.796875,207422.890625,203404.0,203572.296875,203743.109375,203913.5,204082.90625,204253.6875,204424.109375,204595.0,204764.890625,204936.40625,205105.296875,205277.5,205448.59375,205619.296875,205786.5,205956.5,206125.0,206293.90625,206460.40625
Tampa - FL,1277352.0,1288633.0,1298612.0,1308329.0,1314019.0,1318118.0,1320200.0,1332896.0,1340146.0,1347456.0,1356768.0,1363066.0,1374490.0,1380226.0,1389679.0,1399309.0,1405890.0,1286526.0,1341533.0,1360525.0,1377734.0,1388723.0,1415333.0,1439627.0,1456518.0,1475385.0,1492462.0,1503835.0,1516627.0,1526005.0,1535418.0,1540567.0,1546860.0,1551739.0,1553984.0,1552741.0,1564286.0,1568995.0,1569720.0,1570198.0,1571218.0,1572693.0,,1574327.0,1576281.0,1578242.0,1580284.0,1582486.0,1584718.0,1587003.0,1589336.0,1591690.0,1594060.0,1596577.0,1599194.0,1601942.0,1604751.0,1607608.0,1610505.0,1613397.0,1616259.0,1619111.0,1602273.0,1604992.0,1607723.0,1610420.0,1613127.0,1615811.0,1618479.0,1621115.0,1623761.0,1626419.0,1629074.0,1631727.0,1634388.0,1637056.0,1639720.0,1642384.0,1645055.0,1647733.0,1650402.0
