Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Lansing - MI,2115301248.0,2229772544.0,2167564288.0,2202183424.0,2234980608.0,2236118016.0,2260924928.0,2262088192.0,2282866432.0,2314170368.0,2335603712.0,2353686016.0,2384224000.0,2427659520.0,2397469184.0,2460733184.0,2465207296.0,2521500160.0,2590131968.0,2658799872.0,2722455808.0,2876227584.0,3007330816.0,3365366016.0,3364448256.0,3354679296.0,3308151552.0,3120356864.0,3024692224.0,2966018816.0,2801049088.0,2776113920.0,2783668480.0,2777460480.0,2808027136.0,2843654912.0,2881122048.0,2945022976.0,3168952832.0,3179067136.0,3191766016.0,3219053312.0,3202165248.0,3228350208.0,3242162944.0,3255632128.0,3277388544.0,3301294848.0,3321904384.0,3345072640.0,3370400256.0,3393445632.0,3416854272.0,3440019200.0,3463004416.0,3483432960.0,3503171584.0,3522289408.0,3540642304.0,3558593536.0,3576222720.0,3593683456.0
Las Vegas - NV,22692487168.0,22944360448.0,23186225152.0,23703027712.0,24013072384.0,24722425856.0,24987781120.0,25422690304.0,26071289856.0,27110676480.0,27698798592.0,28615600128.0,29330071552.0,30417590272.0,31239651328.0,32717111296.0,33532358656.0,34479603712.0,35870461952.0,37202849792.0,38869327872.0,42355933184.0,45684793344.0,48722501632.0,50098741248.0,50980626432.0,49796423680.0,47780364288.0,46289883136.0,44823728128.0,43578429440.0,43135561728.0,43249803264.0,43303424000.0,43090980864.0,43546083328.0,44090843136.0,44048113664.0,44080304128.0,43629608960.0,43933913088.0,43742343168.0,43897679872.0,43683004416.0,43693363200.0,43700006912.0,43912011776.0,44226494464.0,44538613760.0,44884201472.0,45264969728.0,45618413568.0,45978218496.0,46336147456.0,46697086976.0,47026429952.0,47352365056.0,47678930944.0,47999758336.0,48323530752.0,48651489280.0,48981323776.0
Lehigh Valley - PA,4612190208.0,4651657728.0,4554435584.0,4582957568.0,4640453120.0,4741145600.0,4789005312.0,4857609728.0,4945248768.0,5074710016.0,5123134464.0,5255692800.0,5278948864.0,5379187200.0,5364922368.0,5466621440.0,5540472832.0,5666415104.0,5750117888.0,5947705856.0,6201316864.0,6554693120.0,6857263616.0,6921515008.0,7081484288.0,7082157056.0,6890222592.0,6643899904.0,6428350464.0,6314636800.0,6179367936.0,6181790208.0,6174879744.0,6250171904.0,6297345024.0,6500839936.0,6586321408.0,6692250624.0,8469702656.0,8460874752.0,8591790080.0,8632551424.0,8613880832.0,8669953024.0,8721914880.0,8771028992.0,8845793280.0,8924801024.0,8993395712.0,9069036544.0,9150341120.0,9222874112.0,9295732736.0,9367474176.0,9439304704.0,9503423488.0,9565378560.0,9626446848.0,9685339136.0,9744029696.0,9802020864.0,9859644416.0
Lexington - KY,2937950208.0,2982727680.0,2966463744.0,2943944448.0,2984634880.0,3084493312.0,3116630016.0,3101332480.0,3132549632.0,3200146944.0,3298099712.0,3362219776.0,3467546624.0,3529346048.0,3563675648.0,3535799808.0,3618153216.0,3714064128.0,3861302272.0,3965979648.0,4209464832.0,4433216000.0,4725051904.0,4775233024.0,4806758912.0,4971677184.0,4844694528.0,4640933376.0,4594694656.0,4539115008.0,4443837952.0,4365403136.0,4310463488.0,4497596416.0,4776846848.0,4801442816.0,5059793920.0,5116119552.0,5143411200.0,5138258944.0,5190385664.0,5215221760.0,5210000384.0,5221698048.0,5236868608.0,5257758720.0,5294692352.0,5337669632.0,5379564544.0,5426451456.0,5476624384.0,5523246080.0,5570449920.0,5616324096.0,5661864960.0,5702995968.0,5742817792.0,5782031872.0,5819736064.0,5857217024.0,5894004224.0,5930496000.0
Little Rock - AR,3534493440.0,3560599296.0,3560636416.0,3521645568.0,3573678592.0,3623021568.0,3641755904.0,3645672192.0,3771709440.0,3838372864.0,3829794048.0,3870182144.0,3934908160.0,4048654336.0,4070634752.0,4112438272.0,4194556416.0,4354987008.0,4425549312.0,4549754880.0,4782782464.0,5062545920.0,5262519808.0,5398255616.0,5571305472.0,5575370240.0,5450573824.0,5266905600.0,5080810496.0,4960850432.0,4871005184.0,4777881088.0,4796652032.0,4882580992.0,4874591744.0,4839892992.0,4879549952.0,4925963264.0,4896936448.0,4876040704.0,4844444160.0,4846766592.0,4855332352.0,4849356288.0,4860804096.0,4876719616.0,4907231232.0,4943721472.0,4979805696.0,5020037120.0,5062769664.0,5102452736.0,5142412288.0,5181317120.0,5219724800.0,5254565888.0,5287764480.0,5320242688.0,5351536640.0,5382439936.0,5412814848.0,5442506240.0
Long Island - NY,15783741440.0,15990064128.0,16037435392.0,16119410688.0,16260139008.0,16640106496.0,16847171584.0,16969423872.0,17101662208.0,17418110976.0,17611763712.0,17929730048.0,18138712064.0,18471596032.0,18826510336.0,19125770240.0,19307851776.0,19665768448.0,20074106880.0,20978894848.0,21773043712.0,22661148672.0,23397928960.0,24228743168.0,24357011456.0,23969753088.0,23738413056.0,22959431680.0,22085523456.0,21454209024.0,20757878784.0,20867966976.0,20691654656.0,20700684288.0,20816723968.0,20941307904.0,20219666432.0,20838246400.0,20903794688.0,21311621120.0,21565827072.0,21702420480.0,21639442432.0,21751951360.0,21809829888.0,21855428608.0,21967521792.0,22106716160.0,22230902784.0,22353530880.0,22501781504.0,22640369664.0,22783897600.0,22927732736.0,23073480704.0,23204655104.0,23333019648.0,23460728832.0,23583817728.0,23707721728.0,23831980032.0,23955689472.0
Los Angeles - CA,296809365504.0,300737396736.0,302906048512.0,306309955584.0,311482220544.0,317354934272.0,323185934336.0,326800637952.0,330944872448.0,337046503424.0,343125065728.0,347805908992.0,352497631232.0,364208128000.0,369149444096.0,374887055360.0,377749372928.0,380530851840.0,387831463936.0,397773438976.0,411624472576.0,430495334400.0,451671588864.0,461352599552.0,466255675392.0,464037117952.0,452250828800.0,436466548736.0,418980397056.0,405330067456.0,395321704448.0,385870790656.0,384325222400.0,382606311424.0,381461200896.0,381536403456.0,384212795392.0,384772407296.0,383232245760.0,377067765760.0,375713595392.0,375163224064.0,376090591232.0,375039361024.0,375634591744.0,376013029376.0,377795248128.0,380249931776.0,382514331648.0,385092354048.0,387970269184.0,390459490304.0,393052160000.0,395638177792.0,398263091200.0,400609214464.0,402913198080.0,405200011264.0,407430266880.0,409660194816.0,411899396096.0,414137909248.0
Louisville - KY,8063158784.0,8267123712.0,8375321088.0,8302240768.0,8485560832.0,8751305728.0,8719717376.0,8985338880.0,9065336832.0,9285540864.0,9243123712.0,9313137664.0,9403461632.0,9537947648.0,9688137728.0,10011513856.0,10237707264.0,10455782400.0,10726637568.0,11110685696.0,11587355648.0,12030374912.0,12594176000.0,12927964160.0,13299506176.0,13649333248.0,13425062912.0,13050400768.0,12722721792.0,12357083136.0,12246305792.0,12074083328.0,12177118208.0,12289226752.0,12302073856.0,12386612224.0,12649880576.0,12833611776.0,12771314688.0,12675931136.0,12811614208.0,12859045888.0,12857054208.0,12868474880.0,12900998144.0,12948389888.0,13034953728.0,13138278400.0,13238709248.0,13350932480.0,13471210496.0,13582208000.0,13694109696.0,13803160576.0,13911053312.0,14008553472.0,14102802432.0,14195076096.0,14283972608.0,14372187136.0,14458611712.0,14544266240.0
Madison - WI,9936180224.0,9988421632.0,10257884160.0,10297463808.0,10417868800.0,10518627328.0,11234332672.0,10930192384.0,11056257024.0,11369185280.0,11419071488.0,11548954624.0,11668873216.0,11872247808.0,12336391168.0,12473936896.0,12637214720.0,12850334720.0,13136604160.0,13416838144.0,13648989184.0,14133921792.0,15035056128.0,15306438656.0,15544683520.0,15537825792.0,15277910016.0,14894889984.0,14476429312.0,14068702208.0,13904629760.0,13748786176.0,13718605824.0,13676104704.0,14141626368.0,14565332992.0,14716507136.0,14921357312.0,14862740480.0,15641111552.0,16169857024.0,16266217472.0,16261531648.0,16297771008.0,16357331968.0,16414388224.0,16514702336.0,16630277120.0,16731424768.0,16848081920.0,16977183744.0,17093784576.0,17213378560.0,17332209664.0,17450985472.0,17556582400.0,17658134528.0,17757085696.0,17851699200.0,17944299520.0,18035441664.0,18126692352.0
Manchester - NH,3101440256.0,3190684416.0,3210569472.0,3218368512.0,3255442944.0,3332525312.0,3370750464.0,3415122944.0,3456846848.0,3525599232.0,3571457024.0,3858172672.0,3884321024.0,3968389120.0,4038904576.0,4142871296.0,4186872320.0,4281719552.0,4397984256.0,4548195840.0,4775034368.0,5069614080.0,5491976192.0,5594760192.0,5694107136.0,5743246336.0,5626911232.0,5443757568.0,5301187072.0,5172566528.0,5069678592.0,5022183936.0,4987807744.0,5348988928.0,5403847168.0,5383411712.0,5545010176.0,5643393024.0,5627646976.0,5670968832.0,5818100736.0,5847676928.0,5836649984.0,5875602944.0,5912163328.0,5947005440.0,5999121408.0,6053573120.0,6100937728.0,6152914432.0,6208707072.0,6258477056.0,6308536832.0,6357906432.0,6407354880.0,6451618816.0,6494216704.0,6536225792.0,6576515584.0,6616701440.0,6656379392.0,6695619584.0
