Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1
Baton Rouge - LA,861231.6875,863059.5625,864779.0,864529.125,864221.3125,863891.4375,863542.0,863992.375,864404.8125,864802.625,865218.0,865996.8125,866770.875,867520.3125,868295.0,869048.8125,869822.8125,870581.75,870289.8125,870917.75,871327.25,871943.75,872911.6875,873228.8125,873670.25,874173.5,874956.1875,875875.6875,876913.0,878107.1875,879263.9375,880827.8125,882513.9375,884312.9375,885942.0625,887263.1875,888445.9375,888695.125,888745.125,888982.1875,889204.25
Beaumont - TX,399095.09375,399715.6875,400286.0,400828.78125,401344.6875,401850.40625,402347.0,401231.0,400097.5,398957.09375,397825.0,397764.40625,397701.59375,397627.5,397565.0,397571.28125,397586.90625,397595.625,397264.3125,396844.09375,396324.59375,395899.1875,395633.09375,395412.40625,395247.71875,395110.1875,395098.21875,395593.5,396142.0,396761.5,397364.1875,397748.8125,398187.5,398675.90625,399086.59375,399853.21875,400394.1875,400369.59375,400134.09375,399744.28125,399378.28125
Birmingham - AL,1160844.0,1162287.0,1163583.0,1164841.0,1166021.0,1167171.0,1168295.0,1169507.0,1170668.0,1171809.0,1172974.0,1174202.0,1175425.0,1176613.0,1177836.0,1178751.0,1179694.0,1180616.0,1181785.0,1181643.0,1181205.0,1181048.0,1181366.0,1181129.0,1181060.0,1181072.0,1181460.0,1182444.0,1183586.0,1184940.0,1186242.0,1187996.0,1189914.0,1191983.0,1193821.0,1195752.0,1197616.0,1198346.0,1198954.0,1199903.0,1200905.0
Boise - ID,683005.625,687247.375,691403.0,696030.0,700610.75,705173.5,709720.0,714540.5625,719330.1875,724107.1875,728899.0,733983.5625,739064.25,744123.75,749205.0,754374.5625,759561.8125,764735.875,770235.75,776942.625,783452.8125,790146.5,797160.875,801085.5625,805122.1875,809214.125,813564.5625,816995.9375,820536.1875,824223.1875,827875.4375,832197.875,836635.0625,841179.0625,845561.25,850237.625,854703.1875,858123.4375,861126.75,863260.375,866078.9375
Boston - MA,4831190.0,4840973.0,4850147.0,4860300.0,4870127.0,4879831.0,4889423.0,4895391.0,4901145.0,4906814.0,4912584.0,4917657.0,4922703.0,4927609.0,4932659.0,4936634.0,4940724.0,4944728.0,4924590.0,4920629.0,4915435.0,4911406.0,4909352.0,4914351.0,4920042.0,4926076.0,4933677.0,4942239.0,4951462.0,4961569.0,4971463.0,4984726.0,4998676.0,5013261.0,5026880.0,5034500.0,5041817.0,5043594.0,5044053.0,5047689.0,5050940.0
Brownsville-Harlingen - TX,418133.90625,418552.3125,418918.0,419020.8125,419095.5,419159.5,419214.0,419135.5,419038.5,418934.5,418839.0,419065.40625,419289.5,419501.59375,419726.0,420188.8125,420661.28125,421126.59375,421567.8125,421872.3125,422070.90625,422369.375,422838.1875,423506.1875,424233.78125,424990.6875,425882.8125,426432.1875,427039.0,427722.28125,428387.5,429304.6875,430280.6875,431310.6875,432257.0,432694.6875,433054.0,432970.875,432829.40625,432686.5,432575.8125
Buffalo - NY,1154784.0,1155218.0,1155507.0,1156519.0,1157454.0,1158360.0,1159239.0,1160267.0,1161243.0,1162200.0,1163181.0,1163725.0,1164263.0,1164767.0,1165306.0,1165814.0,1166350.0,1166866.0,1165476.0,1165079.0,1164388.0,1163970.0,1164018.0,1162696.0,1161540.0,1160464.0,1159757.0,1159850.0,1160098.0,1160552.0,1160955.0,1162584.0,1164371.0,1166303.0,1168007.0,1167586.0,1166992.0,1165188.0,1163167.0,1161382.0,1159664.0
Canton - OH,404399.8125,404213.8125,403977.0,403683.0,403361.90625,403030.5,402690.0,402590.09375,402472.59375,402348.125,402232.0,402138.6875,402043.21875,401936.1875,401841.0,401754.6875,401677.71875,401593.6875,401241.40625,401009.0,400676.21875,400438.5,400362.09375,399995.09375,399684.59375,399402.0,399246.40625,399182.59375,399172.40625,399233.3125,399277.0,399356.6875,399491.78125,399677.625,399786.40625,399968.09375,400116.78125,399873.40625,399600.0,399349.5,399063.6875
Charleston - SC,744615.625,748388.3125,752067.0,755333.375,758549.375,761745.9375,764925.0,767765.375,770572.0625,773365.75,776175.0,779496.8125,782814.5,786109.9375,789428.0,792824.8125,796240.125,799641.75,803484.6875,806326.1875,808965.0,811794.625,814952.25,818881.6875,822925.4375,827025.875,831390.625,836434.8125,841590.25,846896.4375,852167.1875,856963.1875,861878.125,866903.8125,871763.625,876455.375,880924.0,884419.0,887631.25,890618.3125,893574.5
Charlotte - NC,2467319.0,2480279.0,2492928.0,2505459.0,2517824.0,2530123.0,2542365.0,2552977.0,2563478.0,2573934.0,2584443.0,2595094.0,2605732.0,2616295.0,2626934.0,2637977.0,2649081.0,2660139.0,2668465.0,2678041.0,2686942.0,2696479.0,2707105.0,2719795.0,2732865.0,2746122.0,2760255.0,2774793.0,2789700.0,2805105.0,2820391.0,2836361.0,2852724.0,2869456.0,2885638.0,2902881.0,2919446.0,2932792.0,2945201.0,2957033.0,2968608.0
